98,黎巴嫩,5.12,混合政權
100,委內瑞拉,5.07,混合政權
101,賴比瑞亞,4.95,混合政權
102,不丹,4.87,混合政權
103,波赫,4.78,混合政權
103,柬埔寨,4.78,混合政權
105,尼泊爾,4.77,混合政權
106,巴勒斯坦民族權力機構,4.72,混合政權
107,莫三比克,4.66,混合政權
108,巴基斯坦,4.64,混合政權
109,獅子山,4.56,混合政權
110,馬達加斯加,4.42,混合政權
111,伊拉克,4.23,混合政權
112,茅利塔尼亞,4.17,混合政權
113,亞美尼亞,4.13,混合政權
114,布吉納法索,4.09,混合政權
115,尼日,4.02,混合政權
116,摩洛哥,4.00,專制政權
117,阿爾及利亞,3.83,專制政權
118,海地,3.82,專制政權
119,利比亞,3.80,專制政權
120,科威特,3.78,專制政權
121,約旦,3.76,專制政權
121,加彭,3.76,專制政權
121,奈及利亞,3.76,專制政權
124,衣索比亞,3.72,專制政權
125,白俄羅斯,3.69,專制政權
126,象牙海岸,3.53,專制政權
127,古巴,3.52,專制政權
127,葛摩,3.52,專制政權
129,多哥,3.45,專制政權
130,越南,3.41,專制政權
130,喀麥隆,3.41,專制政權
132,俄羅斯,3.39,專制政權
133,安哥拉,3.35,專制政權
134,蒲隆地,3.33,專制政權
135,盧安達,3.25,專制政權
136,卡達,3.18,專制政權
137,哈薩克,3.17,專制政權
138,埃及,3.16,專制政權
139,阿曼,3.15,專制政權
140,史瓦濟蘭,3.09,專制政權
141,緬甸,3.05,專制政權
141,甘比亞,3.05,專制政權
143,幾內亞,3.01,專制政權
144,中華人民共和國,3.00,專制政權
145,吉布地,2.99,專制政權
146,剛果共和國,2.89,專制政權
147,巴林,2.87,專制政權
148,亞塞拜然,2.83,專制政權
149,葉門,2.79,專制政權
150,辛巴威,2.78,專制政權
151,阿富汗,2.77,專制政權
152,阿聯,2.64,專制政權
153,蘇丹,2.54,專制政權
154,烏茲別克,2.45,專制政權
155,厄利垂亞,2.44,專制政權
156,塔吉克,2.37,專制政權
157,寮國,2.21,專制政權
158,伊朗,1.98,專制政權
159,幾內亞比索,1.93,專制政權
160,土庫曼,1.83,專制政權
161,沙烏地阿拉伯,1.82,專制政權
162,剛果民主共和國,1.75,專制政權
163,敘利亞,1.74,專制政權
164,赤道幾內亞,1.66,專制政權
165,查德,1.50,專制政權
166,中非共和國,1.49,專制政權
167,北韓,1.08,專制政權
